"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"C1,C2","22u","Capacitor_SMD:C_0603_1608Metric","~","2","","",""
"C3,C4","100n","Capacitor_SMD:C_0402_1005Metric","~","2","","",""
"D1","LED","LED_SMD:LED_0603_1608Metric","~","1","","",""
"J1","TC2030","Connector:Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical","https://www.tag-connect.com/wp-content/uploads/bsk-pdf-manager/2019/12/TC2030-IDC-NL-Datasheet-Rev-B.pdf","1","","Excluded from BOM",""
"J2,J3","Conn_01x11_Pin","Connector_PinHeader_2.54mm:PinHeader_1x11_P2.54mm_Vertical","~","2","","",""
"R1","470","Resistor_SMD:R_0402_1005Metric","~","1","","",""
"R2","10k","Resistor_SMD:R_0402_1005Metric","~","1","","",""
"R3,R4","22","Resistor_SMD:R_0402_1005Metric","~","2","","",""
"SW1","SW_SPST","Button_Switch_SMD:SW_SPST_B3U-1000P-B","~","1","","",""
"U1","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf","1","","",""
"U2","STM32C011F6Px","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","https://www.st.com/resource/en/datasheet/stm32c011f6.pdf","1","","",""
